player_id,player_name,position,main_position,current_club_name,date_of_death,days_missed,games_missed,injury_reason,season_name
1,Carlos Henrique Venâncio Casemiro,Midfield - Defensive Midfield,Midfield,Manchester United,,268,61,Knock | muscular problems | Stomach flu | infection | Corona virus | ankle sprain | stomach problems | Fracture of fibula shaft | minor knock | Ankle sprain,23/24 | 21/22 | 20/21 | 18/19 | 17/18 | 16/17 | 15/16 | 14/15
2,Karim Benzema,Attack - Centre-Forward,Attack,Al-Ittihad Club,,256,34,unknown injury | muscle stiffness | Muscle injury | Back problems | Rest | Ankle injury | Muscle fatigue | Left hip flexor problems | muscular problems | minor knock | Calf problems,24/25 | 23/24 | 22/23 | 21/22
3,Lionel Andrés Messi Cuccittini,Attack - Right Winger,Attack,Inter Miami CF,,188,43,muscular problems | Adductor pain | Rest | Ligament injury | Leg injury | Muscle injury | Knee problems | Achilles heel problems | Calf problems,25/26 | 24/25 | 23/24 | 22/23
4,Robert Lewandowski,Attack - Centre-Forward,Attack,FC Barcelona,,202,35,Muscle injury | Lumbar vertebra problems | Torn muscle fiber | Ankle injury | Hamstring injury | Rest | Ligament stretching | Shin injury | Groin surgery | Patellar tendon problems | muscular problems,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 17/18
5,Mateo Kova?i?,Midfield - Central Midfield,Midfield,Manchester City,,430,59,Achilles tendon surgery | unknown injury | Muscle injury | Knock | Ill | Calf problems | Rest | Knee problems | Ankle injury | Corona virus | Adductor pain | Calf injury | Achilles tendon problems | Knee injury,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
6,Nicolás Hernán Gonzalo Otamendi,Defender - Centre-Back,Defender,SL Benfica,,77,16,Corona virus | Knock | Knee injury | Achilles tendon problems | Ankle problems,20/21 | 19/20 | 18/19 | 15/16 | 14/15
7,David Olatukunbo Alaba,Defender - Centre-Back,Defender,Real Madrid,,635,119,Meniscus tear | Adductor injury | Cruciate ligament tear | Adductor pain | Hamstring injury | Muscle injury | Fitness | muscular problems | Corona virus,24/25 | 23/24 | 22/23 | 21/22 | 20/21
8,Neymar da Silva Santos Júnior,Midfield - Attacking Midfield,Midfield,Santos FC,,901,138,Hamstring injury | Fitness | Cruciate ligament tear | muscular problems | Ankle surgery | Ankle injury | Adductor pain | Ankle problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21
9,Marc-André ter Stegen,Goalkeeper,Goalkeeper,FC Barcelona,,710,128,Back injury | Patellar tendon rupture | Stomach flu | cold | Knee surgery | Rest | Knee injury | Knee problems | Shoulder injury | Muscle injury,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17 | 15/16
10,Olivier Giroud,Attack - Centre-Forward,Attack,LOSC Lille,,235,48,Leg injury | Calf problems | Ankle sprain | Torn muscle fiber | Back injury | Lumbago | Quarantine | Corona virus | Groin injury | Ankle injury | Ill | Knock | Hamstring injury | Adductor pain,24/25 | 22/23 | 21/22 | 19/20 | 18/19 | 17/18
11,Kevin De Bruyne,Midfield - Attacking Midfield,Midfield,SSC Napoli,,356,85,Hamstring muscle injury | stomach problems | Groin strain | Fitness | Hamstring injury | Foot bruise | Ill | Corona virus | Ankle injury | Facial fracture | muscular problems | Muscle injury | Back injury | Ankle problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
12,Kieran Trippier,Defender - Right-Back,Defender,Newcastle United,,357,64,Hamstring injury | Calf injury | Groin injury | Metatarsal fracture | Shoulder injury | Groin strain | Strain in the thigh and gluteal muscles | bruise | Ankle injury,24/25 | 23/24 | 21/22 | 19/20 | 18/19 | 17/18
13,Alisson Ramsés Becker,Goalkeeper,Goalkeeper,Liverpool FC,,411,80,concussion | Hamstring injury | Thigh problems | Virus | muscular problems | Corona virus | Ill | Hip injury | Shoulder injury | Calf injury,24/25 | 23/24 | 21/22 | 20/21 | 19/20 | 17/18
14,Thibaut Nicolas Marc Courtois,Goalkeeper,Goalkeeper,Real Madrid,,461,88,Back injury | Muscle injury | Achilles tendon problems | Adductor tear | Meniscus tear | Cruciate ligament tear | Adductor pain | Hamstring injury | Sciatica problems | Inflammation of pubic bone | Corona virus | stomach problems | Bone sprain,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
15,Damián Emiliano Martínez,Goalkeeper,Goalkeeper,Aston Villa,,19,3,unknown injury | Knee problems,24/25 | 21/22
16,Stefano Russo,Goalkeeper,Goalkeeper,Retired,,83,15,unknown injury | Elbow injury,20/21 | 15/16
17,Jan Oblak,Goalkeeper,Goalkeeper,AtlÃ©tico de Madrid,,187,30,Back injury | Corona virus | Rest | Knock | Wrist injury | influenza | Shoulder injury,22/23 | 21/22 | 17/18 | 16/17
18,Antoine Griezmann,Attack - Second Striker,Attack,AtlÃ©tico de Madrid,,143,25,Ankle injury | Muscle injury | Corona virus | minor knock | ankle sprain,23/24 | 21/22 | 19/20 | 17/18 | 16/17 | 12/13
19,Harry Kane,Attack - Centre-Forward,Attack,Bayern Munich,,301,54,Torn muscle fiber | Back problems | Ankle injury | unknown injury | Fitness | Torn thigh muscle | Ill | Ligament injury | Torn ankle ligaments | Back injury | Knee injury | Hamstring injury,24/25 | 23/24 | 20/21 | 19/20 | 18/19 | 17/18
20,Virgil van Dijk,Defender - Centre-Back,Defender,Liverpool FC,,621,115,Rest | Ill | Hamstring injury | Knee problems | Corona virus | Cruciate ligament tear | Ankle injury | Rib fracture | Knock | Thigh problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17
21,Mohamed Salah Ghaly,Attack - Right Winger,Attack,Liverpool FC,,188,38,muscular problems | Hamstring muscle injury | Corona virus | Ankle injury | Ankle problems | concussion | Thigh problems | Shoulder injury | Torn lateral ankle ligament,23/24 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17 | 15/16 | 14/15 | 12/13
22,Leon Christoph Goretzka,Midfield - Central Midfield,Midfield,Bayern Munich,,278,46,bruise | Hamstring strain | Ill | muscular problems | Broken hand | Thigh problems | Corona virus | Knee surgery | Fitness | Hip problems | cold | Rest | Torn muscle fiber | strain | Calf problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21
23,Joshua Walter Kimmich,Midfield - Defensive Midfield,Midfield,Bayern Munich,,173,34,Tendon irritation | Shoulder injury | Ill | muscular problems | Corona virus | Fitness | Quarantine | influenza | Meniscus damage | bruise | Back problems | stomach problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 17/18 | 16/17
24,Raphaël Varane,Defender - Centre-Back,Defender,Retired,,412,63,Knee problems | Muscle injury | Ill | unknown injury | Foot injury | Leg injury | Ankle sprain | muscular problems | Corona virus | Abdominal problems | Hamstring injury | Groin injury | flu,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 18/19
25,Memphis Depay,Attack - Centre-Forward,Attack,Sport Club Corinthians Paulista,,395,69,Hamstring injury | ankle sprain | Leg injury | Injury to the ankle | Fitness | Muscle injury | Calf injury | Thigh problems | Hamstring strain,25/26 | 24/25 | 23/24 | 22/23 | 21/22
26,Timo Werner,Attack - Left Winger,Attack,RB Leipzig,,315,54,Hamstring injury | Hip injury | Thigh problems | Adductor pain | Back problems | Ankle problems | cold | Syndesmotic ligament tear | infection | Corona virus | strain | Hamstring strain | Knock | influenza | Ill,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19
27,Domenico Berardi,Attack - Right Winger,Attack,US Sassuolo,,441,60,Achilles tendon surgery | Meniscus injury | Fever | Rest | muscular problems | Adductor pain | Thigh problems | Hamstring muscle injury | unknown injury | Knee problems | Corona virus | Foot bruise,23/24 | 22/23 | 21/22
28,Adrien Rabiot,Midfield - Central Midfield,Midfield,AC Milan,,155,23,Calf injury | Muscle fatigue | Foot injury | Calf problems | Thigh problems | bruise | cold | Quarantine | Corona virus | Ankle problems | Muscle injury,24/25 | 23/24 | 22/23 | 21/22
29,John Stones,Defender - Centre-Back,Defender,Manchester City,,423,83,Hamstring injury | Foot injury | unknown injury | Hip injury | Rest | Knock | Ankle injury | Muscle injury | Groin injury,24/25 | 23/24 | 22/23 | 20/21 | 19/20 | 18/19
30,Stanislav Lobotka,Midfield - Defensive Midfield,Midfield,SSC Napoli,,221,47,Ankle sprain | Hamstring injury | Bruised ribs | Hamstring muscle injury | Quarantine | Dead leg | Muscle injury | Tonsillitis | flu | Muscle fatigue | ankle sprain | unknown injury,24/25 | 23/24 | 21/22 | 20/21 | 19/20 | 18/19 | 14/15
31,Federico Dimarco,Defender - Left-Back,Defender,Inter Milan,,312,77,unknown injury | Hamstring injury | flu | Muscle fatigue | muscular problems | Injury to abdominal muscles | Adductor injury | Broken foot,24/25 | 23/24 | 22/23 | 18/19 | 17/18
32,Paulo Bruno Exequiel Dybala,Attack - Second Striker,Attack,AS Roma,,281,39,Tendon rupture | unknown injury | Bruised knee | muscular problems | Muscle fatigue | Adductor injury | Thigh problems | Hamstring muscle injury | Collateral ligament injury | Adductor pain | Ankle problems | Ankle sprain,24/25 | 23/24 | 22/23
