player_id,player_name,position,main_position,current_club_name,date_of_death,days_missed,games_missed,injury_reason,season_name
1,Casemiro,Midfield - Defensive Midfield,Midfield,Manchester United,,268.0,61.0,Knock | muscular problems | Stomach flu | infection | Corona virus | ankle sprain | stomach problems | Fracture of fibula shaft | minor knock | Ankle sprain,23/24 | 21/22 | 20/21 | 18/19 | 17/18 | 16/17 | 15/16 | 14/15
2,Karim Benzema,Attack - Centre-Forward,Attack,Al-Ittihad Club,,256.0,34.0,unknown injury | muscle stiffness | Muscle injury | Back problems | Rest | Ankle injury | Muscle fatigue | Left hip flexor problems | muscular problems | minor knock | Calf problems,24/25 | 23/24 | 22/23 | 21/22
3,Lionel Messi,Attack - Right Winger,Attack,Inter Miami CF,,188.0,43.0,muscular problems | Adductor pain | Rest | Ligament injury | Leg injury | Muscle injury | Knee problems | Achilles heel problems | Calf problems,25/26 | 24/25 | 23/24 | 22/23
4,Robert Lewandowski,Attack - Centre-Forward,Attack,FC Barcelona,,202.0,35.0,Muscle injury | Lumbar vertebra problems | Torn muscle fiber | Ankle injury | Hamstring injury | Rest | Ligament stretching | Shin injury | Groin surgery | Patellar tendon problems | muscular problems,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 17/18
5,Mateo Kovacic,Midfield - Central Midfield,Midfield,Manchester City,,430.0,59.0,Achilles tendon surgery | unknown injury | Muscle injury | Knock | Ill | Calf problems | Rest | Knee problems | Ankle injury | Corona virus | Adductor pain | Calf injury | Achilles tendon problems | Knee injury,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
6,Nicolás Otamendi,Defender - Centre-Back,Defender,SL Benfica,,77.0,16.0,Corona virus | Knock | Knee injury | Achilles tendon problems | Ankle problems,20/21 | 19/20 | 18/19 | 15/16 | 14/15
7,David Alaba,Defender - Centre-Back,Defender,Real Madrid,,635.0,119.0,Meniscus tear | Adductor injury | Cruciate ligament tear | Adductor pain | Hamstring injury | Muscle injury | Fitness | muscular problems | Corona virus,24/25 | 23/24 | 22/23 | 21/22 | 20/21
8,Neymar,Midfield - Attacking Midfield,Midfield,Santos FC,,901.0,138.0,Hamstring injury | Fitness | Cruciate ligament tear | muscular problems | Ankle surgery | Ankle injury | Adductor pain | Ankle problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21
9,Marc-André ter Stegen,Goalkeeper,Goalkeeper,FC Barcelona,,710.0,128.0,Back injury | Patellar tendon rupture | Stomach flu | cold | Knee surgery | Rest | Knee injury | Knee problems | Shoulder injury | Muscle injury,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17 | 15/16
10,Olivier Giroud,Attack - Centre-Forward,Attack,LOSC Lille,,235.0,48.0,Leg injury | Calf problems | Ankle sprain | Torn muscle fiber | Back injury | Lumbago | Quarantine | Corona virus | Groin injury | Ankle injury | Ill | Knock | Hamstring injury | Adductor pain,24/25 | 22/23 | 21/22 | 19/20 | 18/19 | 17/18
11,Kevin De Bruyne,Midfield - Attacking Midfield,Midfield,SSC Napoli,,356.0,85.0,Hamstring muscle injury | stomach problems | Groin strain | Fitness | Hamstring injury | Foot bruise | Ill | Corona virus | Ankle injury | Facial fracture | muscular problems | Muscle injury | Back injury | Ankle problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
12,Kieran Trippier,Defender - Right-Back,Defender,Newcastle United,,357.0,64.0,Hamstring injury | Calf injury | Groin injury | Metatarsal fracture | Shoulder injury | Groin strain | Strain in the thigh and gluteal muscles | bruise | Ankle injury,24/25 | 23/24 | 21/22 | 19/20 | 18/19 | 17/18
13,Alisson,Goalkeeper,Goalkeeper,Liverpool FC,,411.0,80.0,concussion | Hamstring injury | Thigh problems | Virus | muscular problems | Corona virus | Ill | Hip injury | Shoulder injury | Calf injury,24/25 | 23/24 | 21/22 | 20/21 | 19/20 | 17/18
14,Thibaut Courtois,Goalkeeper,Goalkeeper,Real Madrid,,461.0,88.0,Back injury | Muscle injury | Achilles tendon problems | Adductor tear | Meniscus tear | Cruciate ligament tear | Adductor pain | Hamstring injury | Sciatica problems | Inflammation of pubic bone | Corona virus | stomach problems | Bone sprain,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
15,Emiliano Martínez,Goalkeeper,Goalkeeper,Aston Villa,,19.0,3.0,unknown injury | Knee problems,24/25 | 21/22
16,Stefano Russo,Goalkeeper,Goalkeeper,Retired,,83.0,15.0,unknown injury | Elbow injury,20/21 | 15/16
17,Jan Oblak,Goalkeeper,Goalkeeper,Atlético de Madrid,,187.0,30.0,Back injury | Corona virus | Rest | Knock | Wrist injury | influenza | Shoulder injury,22/23 | 21/22 | 17/18 | 16/17
18,Antoine Griezmann,Attack - Second Striker,Attack,Atlético de Madrid,,143.0,25.0,Ankle injury | Muscle injury | Corona virus | minor knock | ankle sprain,23/24 | 21/22 | 19/20 | 17/18 | 16/17 | 12/13
19,Harry Kane,Attack - Centre-Forward,Attack,Bayern Munich,,301.0,54.0,Torn muscle fiber | Back problems | Ankle injury | unknown injury | Fitness | Torn thigh muscle | Ill | Ligament injury | Torn ankle ligaments | Back injury | Knee injury | Hamstring injury,24/25 | 23/24 | 20/21 | 19/20 | 18/19 | 17/18
20,Virgil van Dijk,Defender - Centre-Back,Defender,Liverpool FC,,621.0,115.0,Rest | Ill | Hamstring injury | Knee problems | Corona virus | Cruciate ligament tear | Ankle injury | Rib fracture | Knock | Thigh problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17
21,Mohamed Salah,Attack - Right Winger,Attack,Liverpool FC,,188.0,38.0,muscular problems | Hamstring muscle injury | Corona virus | Ankle injury | Ankle problems | concussion | Thigh problems | Shoulder injury | Torn lateral ankle ligament,23/24 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17 | 15/16 | 14/15 | 12/13
22,Leon Goretzka,Midfield - Central Midfield,Midfield,Bayern Munich,,278.0,46.0,bruise | Hamstring strain | Ill | muscular problems | Broken hand | Thigh problems | Corona virus | Knee surgery | Fitness | Hip problems | cold | Rest | Torn muscle fiber | strain | Calf problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21
23,Joshua Kimmich,Midfield - Defensive Midfield,Midfield,Bayern Munich,,173.0,34.0,Tendon irritation | Shoulder injury | Ill | muscular problems | Corona virus | Fitness | Quarantine | influenza | Meniscus damage | bruise | Back problems | stomach problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 17/18 | 16/17
24,Raphaël Varane,Defender - Centre-Back,Defender,Retired,,412.0,63.0,Knee problems | Muscle injury | Ill | unknown injury | Foot injury | Leg injury | Ankle sprain | muscular problems | Corona virus | Abdominal problems | Hamstring injury | Groin injury | flu,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 18/19
25,Memphis Depay,Attack - Centre-Forward,Attack,Sport Club Corinthians Paulista,,395.0,69.0,Hamstring injury | ankle sprain | Leg injury | Injury to the ankle | Fitness | Muscle injury | Calf injury | Thigh problems | Hamstring strain,25/26 | 24/25 | 23/24 | 22/23 | 21/22
26,Timo Werner,Attack - Left Winger,Attack,RB Leipzig,,315.0,54.0,Hamstring injury | Hip injury | Thigh problems | Adductor pain | Back problems | Ankle problems | cold | Syndesmotic ligament tear | infection | Corona virus | strain | Hamstring strain | Knock | influenza | Ill,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19
27,Domenico Berardi,Attack - Right Winger,Attack,US Sassuolo,,441.0,60.0,Achilles tendon surgery | Meniscus injury | Fever | Rest | muscular problems | Adductor pain | Thigh problems | Hamstring muscle injury | unknown injury | Knee problems | Corona virus | Foot bruise,23/24 | 22/23 | 21/22
28,Adrien Rabiot,Midfield - Central Midfield,Midfield,AC Milan,,155.0,23.0,Calf injury | Muscle fatigue | Foot injury | Calf problems | Thigh problems | bruise | cold | Quarantine | Corona virus | Ankle problems | Muscle injury,24/25 | 23/24 | 22/23 | 21/22
29,John Stones,Defender - Centre-Back,Defender,Manchester City,,423.0,83.0,Hamstring injury | Foot injury | unknown injury | Hip injury | Rest | Knock | Ankle injury | Muscle injury | Groin injury,24/25 | 23/24 | 22/23 | 20/21 | 19/20 | 18/19
30,Stanislav Lobotka,Midfield - Defensive Midfield,Midfield,SSC Napoli,,221.0,47.0,Ankle sprain | Hamstring injury | Bruised ribs | Hamstring muscle injury | Quarantine | Dead leg | Muscle injury | Tonsillitis | flu | Muscle fatigue | ankle sprain | unknown injury,24/25 | 23/24 | 21/22 | 20/21 | 19/20 | 18/19 | 14/15
31,Federico Dimarco,Defender - Left-Back,Defender,Inter Milan,,312.0,77.0,unknown injury | Hamstring injury | flu | Muscle fatigue | muscular problems | Injury to abdominal muscles | Adductor injury | Broken foot,24/25 | 23/24 | 22/23 | 18/19 | 17/18
32,Paulo Dybala,Attack - Second Striker,Attack,AS Roma,,281.0,39.0,Tendon rupture | unknown injury | Bruised knee | muscular problems | Muscle fatigue | Adductor injury | Thigh problems | Hamstring muscle injury | Collateral ligament injury | Adductor pain | Ankle problems | Ankle sprain,24/25 | 23/24 | 22/23
33,André Onana,Goalkeeper,Goalkeeper,Trabzonspor,,130.0,13.0,Hamstring injury | Groin injury | Shoulder injury | Ill | Rest,25/26 | 21/22 | 19/20 | 18/19 | 17/18 | 16/17
34,Andrew Robertson,Defender - Left-Back,Defender,Liverpool FC,,241.0,47.0,Knock | Ankle problems | Ill | Shoulder injury | Knee injury | Hip injury | Ankle injury | Torn thigh muscle | Fracture of fibula shaft | Arm injury | Calf strain,23/24 | 22/23 | 20/21 | 19/20 | 18/19 | 17/18 | 16/17
35,Boris Babic,Attack - Centre-Forward,Attack,FC Schaffhausen,,496.0,61.0,unknown injury | Corona virus | Cruciate ligament tear,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18
36,Bruno Fernandes,Midfield - Attacking Midfield,Midfield,Manchester United,,30.0,6.0,Knee injury | Ill | Leg injury | flu,23/24 | 21/22 | 18/19 | 16/17
37,Bernardo Silva,Midfield - Attacking Midfield,Midfield,Manchester City,,151.0,28.0,unknown injury | muscular problems | Muscle injury | Knock | Ankle injury | Hamstring injury,24/25 | 23/24 | 21/22 | 20/21 | 18/19 | 16/17 | 15/16
38,Rodrigo De Paul,Midfield - Central Midfield,Midfield,Inter Miami CF,,18.0,4.0,Hamstring injury,23/24
39,Nicolò Barella,Midfield - Central Midfield,Midfield,Inter Milan,,204.0,49.0,Adductor injury | Hamstring injury | Nose surgery | Muscle fatigue | unknown injury | Bruised knee | Ankle problems | Knee injury | Wrist fracture,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 16/17
40,Gianluca Mancini,Defender - Centre-Back,Defender,AS Roma,,62.0,17.0,flu | Pubalgia | inflammation | Adductor injury | Bruised knee | Foot injury | muscular problems | Stomach flu,24/25 | 23/24 | 21/22 | 20/21 | 19/20
41,Rúben Dias,Defender - Centre-Back,Defender,Manchester City,,188.0,45.0,muscle stiffness | Hip injury | unknown injury | Calf injury | Hamstring injury | Knock | Ankle injury | Appendectomy,24/25 | 22/23 | 21/22 | 17/18
42,Manuel Locatelli,Midfield - Defensive Midfield,Midfield,Juventus FC,,132.0,27.0,Ankle sprain | fracture | Muscle fatigue | Inner ligament injury | Corona virus | muscular problems | Quarantine | Foot bruise | flu,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 16/17
43,Mattia Zaccagni,Attack - Left Winger,Attack,SS Lazio,,211.0,37.0,Groin surgery | Pubic bone irritation | Calf problems | Stomach flu | Ankle injury | Toe injury | Hip injury | Knee problems | Ankle problems | Fever | Calf injury | Hamstring injury | Quarantine,24/25 | 23/24 | 22/23 | 21/22
44,Guglielmo Vicario,Goalkeeper,Goalkeeper,Tottenham Hotspur,,216.0,33.0,unknown injury | Ankle surgery | Fever | Chest injury | Finger injury,24/25 | 23/24 | 22/23 | 18/19
45,Dani Olmo,Midfield - Attacking Midfield,Midfield,FC Barcelona,,370.0,84.0,Adductor injury | strain | Muscle injury | muscular problems | Acromioclavicular joint dislocation | Knee injury | Torn muscle fiber | Inner knee ligament tear | cold | Corona virus,24/25 | 23/24 | 22/23 | 21/22
46,Kai Havertz,Attack - Centre-Forward,Attack,Arsenal FC,,267.0,54.0,Knee injury | Hamstring injury | Ill | Knee problems | influenza | Corona virus | cold | Knock | muscular problems | Torn muscle fiber | Knee bruise,25/26 | 24/25 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18
